Cat.,Zaneen Model #,Series,Description, CAD MSRP  ,USD MSRP 
D,D4-2006GSR,ARBOR,Surface/Ceiling -20x4.5W LED -120V -3000K -7000lm - Gold Silver,3756.00,3024.00
D,D4-2006CSR,ARBOR,Surface/Ceiling -20x4.5W LED -120V -3000K -7000lm - Copper Silver,3756.00,3024.00
D,D4-3000WHI,ARBOR,Surface/Wall -5W LED -120V -3000K -350lm - White,290.00,232.00
D,D4-3000WHI-ALM,ARBOR,Surface/Wall -5W LED -120V -3000K -350lm - White - Aluminum,320.00,258.00
D,D4-3000WHI-GRY,ARBOR,Surface/Wall -5W LED -120V -3000K -350lm - White - Dove Gray,290.00,232.00
D,D4-3000GSR,ARBOR,Surface/Wall -5W LED -120V -3000K -350lm - Gold Silver,320.00,258.00
D,D4-3000CSR,ARBOR,Surface/Wall -5W LED -120V -3000K -350lm - Copper Silver,320.00,258.00
D,D4-3001WHI,ARBOR,Surface/Wall -2x5W LED -120V -3000K -350lm - White,442.00,356.00
D,D4-3001WHI-ALM,ARBOR,Surface/Wall -2x5W LED -120V -3000K -350lm - White - Aluminum,490.00,394.00
D,D4-3001WHI-GRY,ARBOR,Surface/Wall -2x5W LED -120V -3000K -350lm - White - Dove Gray,442.00,356.00
D,D4-3001GSR,ARBOR,Surface/Wall -2x5W LED -120V -3000K -350lm - Gold Silver,490.00,394.00
D,D4-3001CSR,ARBOR,Surface/Wall -2x5W LED -120V -3000K -350lm - Copper Silver,490.00,394.00
D,D4-3002WHI,ARBOR,Surface/Wall -4x5W LED -120V -3000K -350lm - White,874.00,702.00
D,D4-3002WHI-ALM,ARBOR,Surface/Wall -4x5W LED -120V -3000K -350lm - White - Aluminum,968.00,778.00
D,D4-3002WHI-GRY,ARBOR,Surface/Wall -4x5W LED -120V -3000K -350lm - White - Dove Gray,874.00,702.00
D,D4-3002GSR,ARBOR,Surface/Wall -4x5W LED -120V -3000K -350lm - Gold Silver,968.00,778.00
D,D4-3002CSR,ARBOR,Surface/Wall -4x5W LED -120V -3000K -350lm - Copper Silver,968.00,778.00
D,D4-3003WHI,ARBOR,Surface/Wall -6x5W LED -120V -3000K -350lm - White,1330.00,1068.00
D,D4-3003WHI-ALM,ARBOR,Surface/Wall -6x5W LED -120V -3000K -350lm - White - Aluminum,1470.00,1182.00
D,D4-3003WHI-GRY,ARBOR,Surface/Wall -6x5W LED -120V -3000K -350lm - White - Dove Gray,1330.00,1068.00
D,D4-3003GSR,ARBOR,Surface/Wall -6x5W LED -120V -3000K -350lm - Gold Silver,1470.00,1182.00
D,D4-3003CSR,ARBOR,Surface/Wall -6x5W LED -120V -3000K -350lm - Copper Silver,1470.00,1182.00
D,D4-3004WHI,CUBO',Surface - 4.5W LED -120V -3000K -350lm - White,610.00,490.00
D,D4-3004GRY-WHI,CUBO',Surface - 4.5W LED -120V -3000K -350lm - Gray-White,726.00,584.00
D,D4-3004TIM-WHI,CUBO',Surface - 4.5W LED -120V -3000K -350lm - Titanium - White,726.00,584.00
