Cat.,Zaneen Model #,Series,Description, CAD MSRP  ,USD MSRP 
D,D4-3010TNM-WHI,KONE,Surface Wall  - 35W LED -120V - 3000K -Chocolate - White,1154.00,930.00
D,D4-3010BAL-WHI,KONE,Surface Wall  - 35W LED -120V - 3000K - Brushed Aluminum - White,1154.00,930.00
D,D4-6037WHI,KONE,Recessed Spot Light - 4 -5W LED -120V - with Plasterboard Housing - White,284.00,228.00
D,D4-6037GLF,KONE,Recessed Spot Light - 4 -5W LED -120V - with Plasterboard Housing - Gold Leaf,300.00,240.00
D,D4-6037SLF,KONE,Recessed Spot Light - 4 -5W LED -120V - with Plasterboard Housing - Silver Leaf,300.00,240.00
D,D4-6038WHI,KONE,Recessed Spot Light - 4 -5W LED -120V - with Masonry Housing - White,306.00,246.00
D,D4-6038GLF,KONE,Recessed Spot Light - 4 -5W LED -120V - with Masonry Housing - Gold Leaf,322.00,258.00
D,D4-6038SLF,KONE,Recessed Spot Light - 4 -5W LED -120V - with Masonry Housing - Silver Leaf,322.00,258.00
D,D4-6039WHI,KONE,Recessed Spot Light - 10W LED -120V - with Plasterboard Housing - White,432.00,348.00
D,D4-6039GLF,KONE,Recessed Spot Light - 10W LED -120V - with Plasterboard Housing - Gold Leaf,460.00,370.00
D,D4-6039SLF,KONE,Recessed Spot Light - 10W LED -120V - with Plasterboard Housing - Silver Leaf,460.00,370.00
D,D4-6040WHI,KONE,Recessed Spot Light - 10W LED -120V - with Masonry Housing - White,472.00,380.00
D,D4-6040GLF,KONE,Recessed Spot Light - 10W LED -120V - with Masonry Housing - Gold Leaf,500.00,404.00
D,D4-6040SLF,KONE,Recessed Spot Light - 10W LED -120V - with Masonry Housing - Silver Leaf,500.00,404.00
D,D4-6041WHI,KONE,Recessed Spot Light - 17W LED -120V - with Plasterboard Housing - White,674.00,544.00
D,D4-6041GLF,KONE,Recessed Spot Light - 17W LED -120V - with Plasterboard Housing - Gold Leaf,710.00,572.00
D,D4-6041SLF,KONE,Recessed Spot Light - 17W LED -120V - with Plasterboard Housing - Silver Leaf,710.00,572.00
D,D4-6042WHI,KONE,Recessed Spot Light - 17W LED -120V - with Masonry Housing - White,726.00,586.00
D,D4-6042GLF,KONE,Recessed Spot Light - 17W LED -120V - with Masonry Housing - Gold Leaf,760.00,614.00
D,D4-6042SLF,KONE,Recessed Spot Light - 17W LED -120V - with Masonry Housing - Silver Leaf,760.00,614.00
D,D4-1026WHI,LEONARDO,Suspension - 32.5W LED - 12V -3000K -Direct -White,3070.00,2548.00
D,D4-1026TIM,LEONARDO,Suspension - 32.5W LED - 12V -3000K -Direct -Titanium,3070.00,2548.00
D,D4-1026CHO,LEONARDO,Suspension - 32.5W LED - 12V -3000K -Direct -Chocolate,3070.00,2548.00
D,D4-1028WHI,LEONARDO,Suspension - 2 SQUARES - 32.5W LED - 12V -3000K -Direct/Indirect -White,3138.00,2600.00
D,D4-1028TIM,LEONARDO,Suspension - 2 SQUARES - 32.5W LED - 12V -3000K -Direct/Indirect -Titanium,3138.00,2600.00
D,D4-1028CHO,LEONARDO,Suspension - 2 SQUARES - 32.5W LED - 12V -3000K -Direct/Indirect -Chocolate,3138.00,2600.00
D,D4-1029WHI,LEONARDO,Suspension - 3 SQUARES - 74 -5W LED - 12V - Direct+Indirect -White,6756.00,5600.00
D,D4-1029TIM,LEONARDO,Suspension - 3 SQUARES - 74 -5W LED - 12V - Direct+Indirect -Titanium,6756.00,5600.00
D,D4-1029CHO,LEONARDO,Suspension - 3 SQUARES - 74 -5W LED - 12V - Direct+Indirect -Chocolate,6756.00,5600.00
D,D4-3011WHI,LEONARDO,Surface Wall  - 11W LED - 12V -3000K -White,1220.00,1010.00
D,D4-3011TIM,LEONARDO,Surface Wall  - 11W LED - 12V -3000K -Titanium,1220.00,1010.00
D,D4-3011CHO,LEONARDO,Surface Wall  - 11W LED - 12V -3000K -Chocolate,1220.00,1010.00
D,D4-3014WHI,LEONARDO,Surface Wall  - 16W LED - 12V -3000K -White,1384.00,1146.00
D,D4-3014TIM,LEONARDO,Surface Wall  - 16W LED - 12V -3000K -Titanium,1384.00,1146.00
D,D4-3014CHO,LEONARDO,Surface Wall  - 16W LED - 12V -3000K -Chocolate,1384.00,1146.00
D,D4-2044WHI,LEONARDO,Surface Ceiling - 16W LED - 12V -3000K -White,1940.00,1610.00
D,D4-2044TIM,LEONARDO,Surface Ceiling - 16W LED - 12V -3000K -Titanium,1940.00,1610.00
D,D4-2044CHO,LEONARDO,Surface Ceiling - 16W LED - 12V -3000K -Chocolate,1940.00,1610.00
D,D4-2045WHI,LEONARDO,Surface Ceiling - 21.5W LED - 12V -3000K -White,2326.00,1928.00
D,D4-2045TIM,LEONARDO,Surface Ceiling - 21.5W LED - 12V -3000K -Titanium,2326.00,1928.00
D,D4-2045CHO,LEONARDO,Surface Ceiling - 21.5W LED - 12V -3000K -Chocolate,2326.00,1928.00
D,D4-2019WHI,LEONARDO,Surface Ceiling - 42W LED - 12V -3000K -White,3998.00,3320.00
D,D4-2019TIM,LEONARDO,Surface Ceiling - 42W LED - 12V -3000K -Titanium,3998.00,3320.00
D,D4-2019CHO,LEONARDO,Surface Ceiling - 42W LED - 12V -3000K -Chocolate,3998.00,3320.00
D,D4-3012WHI,LUA,Surface Wall  DECENTRATED - 30W  - 120V - 3000K - WHITE,1110.00,890.00
D,D4-3012DBN-CSR,LUA,Surface Wall  DECENTRATED - 30W  - 120V - 3000K - Dark Brown / Coppersilver,1272.00,1020.00
D,D4-3012WHI-GSR,LUA,Surface Wall  DECENTRATED - 30W  - 120V - 3000K - White/Goldsilver,1272.00,1020.00
D,D4-3012RUS-GSR,LUA,Surface Wall  DECENTRATED - 30W  - 120V - 3000K - Russet/Goldsilver,1322.00,1060.00
D,D4-3012WHI-BAL,LUA,Surface Wall  DECENTRATED - 30W  - 120V - 3000K - WHITE/Brushed  Aluminum,1322.00,1060.00
D,D4-3015WHI,LUA,Surface Wall  DECENTRATED - 20W  - 120V - 3000K - WHITE,898.00,724.00
D,D4-3015DBN-CSR,LUA,Surface Wall  DECENTRATED - 20W  - 120V - 3000K - Dark Brown / Coppersilver,1030.00,830.00
D,D4-3015WHI-GSR,LUA,Surface Wall  DECENTRATED - 20W  - 120V - 3000K - White/Goldsilver,1030.00,830.00
D,D4-3015RUS-GSR,LUA,Surface Wall  DECENTRATED - 20W  - 120V - 3000K - Russet/Goldsilver,1080.00,870.00
D,D4-3015WHI-BAL,LUA,Surface Wall  DECENTRATED - 20W  - 120V - 3000K - WHITE/Brushed  Aluminum,1080.00,870.00
D,D4-4004WHI,LUA,Table Lamp -Large - 30W - 120V - 3000K - White,1848.00,1490.00
D,D4-4004DBN-CSR,LUA,Table Lamp -Large - 30W - 120V - 3000K - Dark Brown / Coppersilver,2128.00,1714.00
D,D4-4004WHI-GSR,LUA,Table Lamp -Large - 30W - 120V - 3000K -  White/Goldsilver ,2128.00,1714.00
D,D4-4004RUS-GSR,LUA,Table Lamp -Large - 30W - 120V - 3000K -Russet/Goldsilver  ,2226.00,1792.00
D,D4-4004,LUA,Table Lamp -Large - 30W - 120V - 3000K - Brushed  Aluminum ,2226.00,1792.00
D,D4-4005WHI,LUA,Table Lamp -Small - 30W - 120V - 3000K -  ,1304.00,1050.00
D,D4-4005DBN-CSR,LUA,Table Lamp -Small - 30W - 120V - 3000K - Dark Brown / Coppersilver ,1500.00,1210.00
D,D4-4005WHI-GSR,LUA,Table Lamp -Small - 30W - 120V - 3000K -  White/Goldsilver ,1500.00,1210.00
D,D4-4005RUS-GSR,LUA,Table Lamp -Small - 30W - 120V - 3000K -Russet/Goldsilver  ,1582.00,1274.00
D,D4-4005BAL,LUA,Table Lamp -Small - 30W - 120V - 3000K - Brushed Aluminum ,1582.00,1274.00
D,D4-4006WHI,LUA,Floor Lamp -30W - 120V - 3000K - White  ,2474.00,1986.00
D,D4-4006DBN-CSR,LUA,Floor Lamp -30W - 120V - 3000K -Dark Brown / Coppersilver  ,2838.00,2278.00
D,D4-4006RUS-GSR,LUA,Floor Lamp -30W - 120V - 3000K -  Russet/Goldsilver,2838.00,2278.00
D,D4-4006WHI-GSR,LUA,Floor Lamp -30W - 120V - 3000K -  White/Goldsilver ,2954.00,2372.00
D,D4-4006BAL,LUA,Floor Lamp -30W - 120V - 3000K -  Brushed  Aluminum,2954.00,2372.00
D,D4-1032WHI,LUA,Suspension - 30W LED - 120V - 3000K - White,1350.00,1086.00
D,D4-1032DBN-CSR,LUA,Surface Ceiling - 30W LED - 120V - 3000K -Dark Brown / Coppersilver,1562.00,1258.00
D,D4-1032WHI-GSR,LUA,Surface Ceiling - 30W LED - 120V - 3000K - White/Goldsilver,1562.00,1258.00
D,D4-1032RUS-GSR,LUA,Surface Ceiling - 30W LED - 120V - 3000K -Russet/Goldsilver,1628.00,1310.00
D,D4-1032BAL,LUA,Surface Ceiling - 30W LED - 120V - 3000K -Brushed  Aluminum,1628.00,1310.00
D,D4-1033WHI,LUA,Suspension - 50W LED - 120V - 3000K - White,2182.00,1756.00
D,D4-1033DBN-CSR,LUA,Suspension - 50W LED - 120V - 3000K -Dark Brown / Coppersilver,2548.00,2050.00
D,D4-1033WHI-GSR,LUA,Suspension - 50W LED - 120V - 3000K - White/Goldsilver,2548.00,2050.00
D,D4-1033RUS-GSR,LUA,Suspension - 50W LED - 120V - 3000K -Russet/Goldsilver,2644.00,2128.00
D,D4-1033BAL,LUA,Suspension - 50W LED - 120V - 3000K - Brushed Aluminum,2644.00,2128.00
D,D4-1034WHI,LUA,Suspension - 90W LED - 120V - 3000K - White,3056.00,2456.00
D,D4-1034DBN-CSR,LUA,Suspension - 90W LED - 120V - 3000K -Dark Brown / Coppersilver  ,3538.00,2842.00
D,D4-1034WHI-GSR,LUA,Suspension - 90W LED - 120V - 3000K -White/Goldsilver,3538.00,2842.00
D,D4-1034RUS-GSR,LUA,Suspension - 90W LED - 120V - 3000K -Russet/Goldsilver ,3684.00,2962.00
D,D4-1034WHI-BAL,LUA,Suspension - 90W LED - 120V - 3000K - White / Brushed Aluminum,3684.00,2962.00
D,D4-1035WHI,LUA,Surface Ceiling - 90W LED - 120V - 3000K - White,3122.00,2508.00
D,D4-1035DBN-CSR,LUA,Surface Ceiling - 90W LED - 120V - 3000K -Dark Brown / Coppersilver ,3604.00,2896.00
D,D4-1035WHI-GSR,LUA,Surface Ceiling - 90W LED - 120V - 3000K -White/Goldsilver ,3604.00,2896.00
D,D4-1035RUS-GSR,LUA,Surface Ceiling - 90W LED - 120V - 3000K -Russet/Goldsilver  ,3750.00,3014.00
D,D4-1035WHI-BAL,LUA,Surface Ceiling - 90W LED - 120V - 3000K - White / Brushed  Aluminum,3750.00,3014.00
D,D4-2021WHI,NUBES,Surface Ceiling -4.5W - 120V - 3000K - White,318.00,256.00
D,D4-2021GRY,NUBES,Surface Ceiling -4.5W - 120V - 3000K - Gray,318.00,256.00
D,D4-2023WHI,NUBES,Surface Ceiling -13.5W - 120V - 3000K - White,652.00,524.00
D,D4-2023GRY,NUBES,Surface Ceiling -13.5W - 120V - 3000K - Gray,652.00,524.00
D,D4-2022WHI,NUBES,Surface Ceiling -27W - 120V - 3000K - White,1378.00,1110.00
D,D4-2022GRY,NUBES,Surface Ceiling -27W - 120V - 3000K - Gray,1378.00,1110.00
D,D4-2024WHI,NUBES,Surface Ceiling -40.5W - 120V - 3000K - White,1980.00,1596.00
D,D4-2024GRY,NUBES,Surface Ceiling40.5W - 120V - 3000K - Gray,1980.00,1596.00
D,D4-3016WHI,ORIZZONTE,Surface Wall  - 4.8W LED -120V -3000K - White,668.00,538.00
D,D4-3016CHR,ORIZZONTE,Surface Wall  - 4.8W LED -120V -3000K - Chrome,742.00,598.00
D,D4-3016GLF,ORIZZONTE,Surface Wall  - 4.8W LED -120V -3000K - Brushed Gold,810.00,650.00
D,D4-3013WHI,ORIZZONTE,Surface Wall  - 7.92W LED -120V -3000K - White,796.00,642.00
D,D4-3013CHR,ORIZZONTE,Surface Wall  - 7.92W LED -120V -3000K - Chrome,866.00,696.00
D,D4-3013BGO,ORIZZONTE,Surface Wall  - 7.92W LED -120V -3000K - Brushed Gold,938.00,756.00
D,D4-3017WHI,ORIZZONTE,Surface Wall  - 10.56W LED -120V -3000K - White,826.00,664.00
D,D4-3017CHR,ORIZZONTE,Surface Wall  - 10.56W LED -120V -3000K - Chrome,918.00,738.00
D,D4-3017BGO,ORIZZONTE,Surface Wall  - 10.56W LED -120V -3000K - Brushed Gold,992.00,798.00
D,D4-3018WHI,ORIZZONTE,Surface Wall  - 13.20W LED -120V -3000K - White,972.00,782.00
D,D4-3018CHR,ORIZZONTE,Surface Wall  - 13.20W LED -120V -3000K - Chrome,1058.00,850.00
D,D4-3018BGO,ORIZZONTE,Surface Wall  - 13.20W LED -120V -3000K - Brushed Gold,1190.00,958.00
D,D4-3019WHI,ORIZZONTE,Surface Wall  - 4.8W LED -120V -3000K -Adjustable - White,728.00,586.00
D,D4-3019CHR,ORIZZONTE,Surface Wall  - 4.8W LED -120V -3000K -Adjustable - Chrome,794.00,638.00
D,D4-3019BGO,ORIZZONTE,Surface Wall  - 4.8W LED -120V -3000K -Adjustable - Brushed Gold,844.00,678.00
D,D4-3020WHI,ORIZZONTE,Surface Wall  - 7.92W LED -120V -3000K -Adjustable - White,856.00,690.00
D,D4-3020CHR,ORIZZONTE,Surface Wall  - 7.92W LED -120V -3000K -Adjustable - Chrome,922.00,742.00
D,D4-3020BGO,ORIZZONTE,Surface Wall  - 7.92W LED -120V -3000K -Adjustable - Brushed Gold,970.00,780.00
D,D4-3021WHI,ORIZZONTE,Surface Wall  - 10.56W LED -120V -3000K -Adjustable - White,950.00,764.00
D,D4-3021CHR,ORIZZONTE,Surface Wall  - 10.56W LED -120V -3000K -Adjustable - Chrome,1032.00,830.00
D,D4-3021BGO,ORIZZONTE,Surface Wall  - 10.56W LED -120V -3000K -Adjustable - Brushed Gold,1044.00,840.00
D,D4-3023WHI,ORIZZONTE,Surface Wall  - 13.20W LED -120V -3000K -Adjustable - White,1126.00,904.00
D,D4-3023CHR,ORIZZONTE,Surface Wall  - 13.20W LED -120V -3000K -Adjustable - Chrome,1192.00,958.00
D,D4-3023BGO,ORIZZONTE,Surface Wall  - 13.20W LED -120V -3000K -Adjustable -Brushed Gold,1258.00,1010.00
D,D4-3022WHI,ORIZZONTE,Surface Wall  - Dual Emission - 15.36W LED -12V 3000K - White,1170.00,942.00
D,D4-3022CHR,ORIZZONTE,Surface Wall  - Dual Emission - 15.36W LED -12V 3000K - Chrome,1282.00,1032.00
D,D4-3025WHI,ORIZZONTE,Surface Wall  - Dual Emission - 21.12W LED -12V 3000K - White,1402.00,1128.00
D,D4-3025CHR,ORIZZONTE,Surface Wall  - Dual Emission - 21.12W LED -12V 3000K - Chrome,1550.00,1248.00
D,D4-1027WHI ,POP,Suspension - 65cm - 50W+17W LED -120V -3000K -White,2908.00,2338.00
D,D4-1027BLA,POP,Suspension - 65cm - 50W+17W LED -120V -3000K -Black,2908.00,2338.00
D,D4-1027WHI-ALM,POP,Suspension - 65cm - 50W+17W LED -120V -3000K - White - Aluminum,3056.00,2456.00
D,D4-1027BLA-ALM,POP,Suspension - 65cm - 50W+17W LED -120V -3000K -Black - Aluminum,3056.00,2456.00
D,D4-1027MOK-ALM,POP,Suspension - 65cm - 50W+17W LED -120V -3000K -Moka - Aluminum,3056.00,2456.00
D,D4-1027GRY-ALM,POP,Suspension - 65cm - 50W+17W LED -120V -3000K -Gray - Aluminum,3056.00,2456.00
D,D4-1027GLF-BGO,POP,Suspension - 65cm - 50W+17W LED -120V -3000K -Gold Leaf - Brushed Gold,3206.00,2578.00
D,D4-1027SLF-ALM,POP,Suspension - 65cm - 50W+17W LED -120V -3000K -Silver Leaf - Aluminum,3206.00,2578.00
D,D4-1027GSR ,POP,Suspension - 65cm - 50W+17W LED -120V -3000K -Goldsilver,3206.00,2578.00
D,D4-1027CSR ,POP,Suspension - 65cm - 50W+17W LED -120V -3000K -Coppersilver,3206.00,2578.00
D,D4-1041WHI ,POP,Suspension - 65cm - 50W LED -120V -3000K -White,2434.00,1956.00
D,D4-1041BLA,POP,Suspension - 65cm - 50W LED -120V -3000K -Black,2434.00,1956.00
D,D4-1041WHI-ALM,POP,Suspension - 65cm - 50W LED -120V -3000K - White - Aluminum,2732.00,2196.00
D,D4-1041BLA-ALM,POP,Suspension - 65cm - 50W LED -120V -3000K -Black - Aluminum,2732.00,2196.00
D,D4-1041MOK-ALM,POP,Suspension - 65cm - 50W LED -120V -3000K -Moka - Aluminum,2580.00,2074.00
D,D4-1041GRY-ALM,POP,Suspension - 65cm - 50W LED -120V -3000K -Gray - Aluminum,2580.00,2074.00
D,D4-1041GLF-BGO,POP,Suspension - 65cm - 50W LED -120V -3000K -Gold Leaf - Brushed Gold,2580.00,2074.00
D,D4-1041SLF-ALM,POP,Suspension - 65cm - 50W LED -120V -3000K -Silver Leaf - Aluminum,2558.00,2056.00
D,D4-1041GSR ,POP,Suspension - 65cm - 50W LED -120V -3000K -Goldsilver,2732.00,2196.00
D,D4-1041CSR ,POP,Suspension - 65cm - 50W LED -120V -3000K -Coppersilver,2732.00,2196.00
D,D4-1036WHI ,POP,Suspension - 90cm - 50W LED -120V -3000K -White,2428.00,1952.00
D,D4-1036BLA,POP,Suspension - 90cm - 50W LED -120V -3000K -Black,2428.00,1952.00
D,D4-1036WHI-ALM,POP,Suspension - 90cm - 50W LED -120V -3000K - White - Aluminum,2576.00,2072.00
D,D4-1036BLA-ALM,POP,Suspension - 90cm - 50W LED -120V -3000K -Black - Aluminum,2576.00,2072.00
D,D4-1036MOK-ALM,POP,Suspension - 90cm - 50W LED -120V -3000K -Moka - Aluminum,2576.00,2072.00
D,D4-1036GRY-ALM,POP,Suspension - 90cm - 50W LED -120V -3000K -Gray - Aluminum,2576.00,2072.00
D,D4-1036GLF-BGO,POP,Suspension - 90cm - 50W LED -120V -3000K -Gold Leaf - Brushed Gold,2728.00,2192.00
D,D4-1036SLF-ALM,POP,Suspension - 90cm - 50W LED -120V -3000K -Silver Leaf - Aluminum,2728.00,2192.00
D,D4-1036GSR ,POP,Suspension - 90cm - 50W LED -120V -3000K -Goldsilver,2728.00,2192.00
D,D4-1036CSR ,POP,Suspension - 90cm - 50W LED -120V -3000K -Coppersilver,2728.00,2192.00
D,D4-1037WHI ,POP,Suspension - 90cm - 50W+17W LED -120V -3000K -White,2890.00,2324.00
D,D4-1037BLA,POP,Suspension - 90cm - 50W+17W LED -120V -3000K -Black,2890.00,2324.00
D,D4-1037WHI-ALM,POP,Suspension - 90cm - 50W+17W LED -120V -3000K - White - Aluminum,3038.00,2444.00
D,D4-1037BLA-ALM,POP,Suspension - 90cm - 50W+17W LED -120V -3000K -Black - Aluminum,3036.00,2444.00
D,D4-1037MOK-ALM,POP,Suspension - 90cm - 50W+17W LED -120V -3000K -Moka - Aluminum,3038.00,2444.00
D,D4-1037GRY-ALM,POP,Suspension - 90cm - 50W+17W LED -120V -3000K -Gray - Aluminum,3038.00,2444.00
D,D4-1037GLF-BGO,POP,Suspension - 90cm - 50W+17W LED -120V -3000K -Gold Leaf - Brushed Gold,3190.00,2564.00
D,D4-1037SLF-ALM,POP,Suspension - 90cm - 50W+17W LED -120V -3000K -Silver Leaf - Aluminum,3190.00,2564.00
D,D4-1037GSR ,POP,Suspension - 90cm - 50W+17W LED -120V -3000K -Goldsilver,3190.00,2564.00
D,D4-1037CSR ,POP,Suspension - 90cm - 50W+17W LED -120V -3000K -Coppersilver,3190.00,2564.00
D,D4-2025WHI,POP,Surface Ceiling - 22.5W LED -120V - 3000K - White,1120.00,902.00
D,D4-2025BLA,POP,Surface Ceiling - 22.5W LED -120V - 3000K - Black,1120.00,902.00
D,D4-2025BLA-ALM,POP,Surface Ceiling - 22.5W LED -120V - 3000K - Black- Aluminum,1238.00,996.00
D,D4-2025GRY-ALM,POP,Surface Ceiling - 22.5W LED -120V - 3000K - Gray -Aluminum,1238.00,996.00
D,D4-2025MOK-ALM ,POP,Surface Ceiling - 22.5W LED -120V - 3000K - Moka -Aluminum,1238.00,996.00
D,D4-2025WHI-ALM,POP,Surface Ceiling - 22.5W LED -120V - 3000K -White -Aluminum,1238.00,996.00
D,D4-2025GLF-BGO,POP,Surface Ceiling - 22.5W LED -120V - 3000K -Gold Leaf - Brushed Gold,1268.00,1022.00
D,D4-2025SLF-ALM,POP,Surface Ceiling - 22.5W LED -120V - 3000K -Silver Leaf - Aluminum,1268.00,1022.00
D,D4-2025GSR ,POP,Surface Ceiling - 22.5W LED -120V - 3000K -Goldsilver,1268.00,1022.00
D,D4-2025CSR ,POP,Surface Ceiling - 22.5W LED -120V - 3000K -Coppersilver,1268.00,1022.00
D,D4-2026WHI,POP,Surface Ceiling - 36W LED -120V - 3000K - White,1738.00,1398.00
D,D4-2026BLA,POP,Surface Ceiling - 36W LED -120V - 3000K - Black,1738.00,1398.00
D,D4-2026BAL,POP,Surface Ceiling - 36W LED -120V - 3000K -White - Aluminum,1834.00,1476.00
D,D4-2026BLA-ALM,POP,Surface Ceiling - 36W LED -120V - 3000K -Black - Aluminum,1834.00,1476.00
D,D4-2026MOK-ALM ,POP,Surface Ceiling - 36W LED -120V - 3000K -Moka-Aluminum,1834.00,1476.00
D,D4-2026GRY-ALM,POP,Surface Ceiling - 36W LED -120V - 3000K - Gray -Aluminum,1834.00,1476.00
D,D4-2026GLF-BGO,POP,Surface Ceiling - 36W LED -120V - 3000K -Gold Leaf - Brushed Gold,1966.00,1582.00
D,D4-2026SLF-ALM,POP,Surface Ceiling - 36W LED -120V - 3000K -Silver Leaf - Aluminum,1966.00,1582.00
D,D4-2026GSR ,POP,Surface Ceiling - 36W LED -120V - 3000K -Goldsilver,1966.00,1582.00
D,D4-2026CSR ,POP,Surface Ceiling - 36W LED -120V - 3000K -Coppersilver,1966.00,1582.00
D,D4-2027WHI,POP,Surface Ceiling - 50W LED -120V - 3000K - White,2392.00,1924.00
D,D4-2027BLA,POP,Surface Ceiling - 50W LED -120V - 3000K - Black,2392.00,1924.00
D,D4-2027WHI-ALM,POP,Surface Ceiling - 50W LED -120V - 3000K - White - Aluminum,2540.00,2042.00
D,D4-2027BLA-ALM,POP,Surface Ceiling - 50W LED -120V - 3000K -Black - Aluminum,2540.00,2042.00
D,D4-2027MOK-ALM ,POP,Surface Ceiling - 50W LED -120V - 3000K -Moka-Aluminum,2540.00,2042.00
D,D4-2027GRY-ALM,POP,Surface Ceiling - 50W LED -120V - 3000K - Gray -Aluminum,2540.00,2042.00
D,D4-2027GLF-BGO,POP,Surface Ceiling - 50W LED -120V - 3000K -Gold Leaf - Brushed Gold,2690.00,1950.00
D,D4-2027SLF-ALM,POP,Surface Ceiling - 50W LED -120V - 3000K -Silver Leaf - Aluminum,2690.00,1950.00
D,D4-2027GSR ,POP,Surface Ceiling - 50W LED -120V - 3000K -Goldsilver,2690.00,1950.00
D,D4-2027CSR ,POP,Surface Ceiling - 50W LED -120V - 3000K -Coppersilver,2690.00,1950.00
D,D4-1038WHI,SCUDO,Suspension - 40W LED -120V -3000K - White,2062.00,1478.00
D,D4-1038BLA,SCUDO,Suspension - 40W LED -120V -3000K - Black,2062.00,1478.00
D,D4-1038GRY,SCUDO,Suspension - 40W LED -120V -3000K - Gray,2062.00,1478.00
D,D4-1038MOK,SCUDO,Suspension - 40W LED -120V -3000K - Moka,2062.00,1478.00
D,D4-1038SLF,SCUDO,Suspension - 40W LED -120V -3000K - Silver Leaf,2160.00,1550.00
D,D4-1038GLF,SCUDO,Suspension - 40W LED -120V -3000K - Gold Leaf,2160.00,1550.00
D,D4-1030WHI,SCUDO,Suspension - 40W+17W LED -120V -3000K - White,2490.00,1792.00
D,D4-1030BLA,SCUDO,Suspension - 40W+17W LED -120V -3000K - Black,2490.00,1792.00
D,D4-1030GRY,SCUDO,Suspension - 40W+17W LED -120V -3000K -Gray,2490.00,2002.00
D,D4-1030MOK,SCUDO,Suspension - 40W+17W LED -120V -3000K - Moka,2490.00,2002.00
D,D4-1030SLF,SCUDO,Suspension - 40W+17W LED -120V -3000K - Silver Leaf,2590.00,2082.00
D,D4-1030GLF,SCUDO,Suspension - 40W+17W LED -120V -3000K - Gold Leaf,2590.00,2082.00
D,D4-2028WHI,SCUDO,Surface Ceiling - 40W LED - 120V - 3000K - White,2050.00,1648.00
D,D4-2028BLA,SCUDO,Surface Ceiling - 40W LED - 120V - 3000K - Black,2050.00,1648.00
D,D4-2028GRY,SCUDO,Surface Ceiling - 40W LED - 120V - 3000K - Gray,2050.00,1648.00
D,D4-2028MOK,SCUDO,Surface Ceiling - 40W LED - 120V - 3000K - Moka,2050.00,1648.00
D,D4-2028SLF,SCUDO,Surface Ceiling - 40W LED - 120V - 3000K - Silver Leaf,2146.00,1726.00
D,D4-2028GLF,SCUDO,Surface Ceiling - 40W LED - 120V - 3000K - Gold Leaf,2146.00,1726.00
D,D4-2029WHI,SCUDO,Surface Ceiling - 27W LED - 120V - 3000K - White,1358.00,1092.00
D,D4-2029BLA,SCUDO,Surface Ceiling - 27W LED - 120V - 3000K - Black,1358.00,1092.00
D,D4-2029GRY,SCUDO,Surface Ceiling - 27W LED - 120V - 3000K - Gray,1358.00,1092.00
D,D4-2029MOK,SCUDO,Surface Ceiling - 27W LED - 120V - 3000K - Moka,1358.00,1092.00
D,D4-2029SLF,SCUDO,Surface Ceiling - 27W LED - 120V - 3000K - Silver Leaf,1440.00,1158.00
D,D4-2029GLF,SCUDO,Surface Ceiling - 27W LED - 120V - 3000K - Gold Leaf,1440.00,1158.00
D,D4-2030WHI,SCUDO,Surface Ceiling - 13.5W LED - 120V - 3000K - White,672.00,540.00
D,D4-2030BLA,SCUDO,Surface Ceiling - 13.5W LED - 120V - 3000K - Black,672.00,540.00
D,D4-2030GRY,SCUDO,Surface Ceiling - 13.5W LED - 120V - 3000K - Gray,672.00,540.00
D,D4-2030MOK,SCUDO,Surface Ceiling - 13.5W LED - 120V - 3000K - Moka,672.00,540.00
D,D4-2030SLF,SCUDO,Surface Ceiling - 13.5W LED - 120V - 3000K - Silver Leaf,738.00,594.00
D,D4-2030GLF,SCUDO,Surface Ceiling - 13.5W LED - 120V - 3000K - Gold Leaf,738.00,594.00
D,D4-2031WHI,SCUDO,Surface Ceiling - 4.5W LED - 120V - 3000K - White,324.00,262.00
D,D4-2031BLA,SCUDO,Surface Ceiling - 4.5W LED - 120V - 3000K - Black,324.00,262.00
D,D4-2031GRY,SCUDO,Surface Ceiling - 4.5W LED - 120V - 3000K - Gray,324.00,262.00
D,D4-2031MOK,SCUDO,Surface Ceiling - 4.5W LED - 120V - 3000K - Moka,324.00,262.00
D,D4-2031SLF,SCUDO,Surface Ceiling - 4.5W LED - 120V - 3000K - Silver Leaf,360.00,290.00
D,D4-2031GLF,SCUDO,Surface Ceiling - 4.5W LED - 120V - 3000K - Gold Leaf,360.00,290.00
D,D4-2032WHI,SPILLO,Surface - 1 Arm Adjustable Light -13.20W LED -12V - 3000K - White,986.00,792.00
D,D4-2032CHR,SPILLO,Surface - 1 Arm Adjustable Light -13.20W LED -12V - 3000K - Chrome,1088.00,874.00
D,D4-2032BLA,SPILLO,Surface - 1 Arm Adjustable Light -13.20W LED -12V - 3000K - Black,986.00,792.00
D,D4-2034WHI,SPILLO,Surface - 1 Arm Adjustable Light -4.80W LED -12V - 3000K - White,500.00,402.00
D,D4-2034CHR,SPILLO,Surface - 1 Arm Adjustable Light -4.80W LED -12V - 3000K - Chrome,556.00,448.00
D,D4-2034BLA,SPILLO,Surface - 1 Arm Adjustable Light -4.80W LED -12V - 3000K - Black,500.00,402.00
